省份 入学 生年 生月 性别 院系 金额 还款
辽宁 3 1984 3 女 外语系 54 到期未还
辽宁 4 1985 1 女 外语系 60 到期前还
辽宁 4 1985 7 女 外语系 60 到期前还
吉林 3 1985 5 女 外语系 54 到期前还
辽宁 4 1984 4 女 外语系 60 到期前还
辽宁 3 1984 9 女 外语系 54 到期未还
辽宁 4 1985 11 女 电气与控制工程学院 60 到期前还
辽宁 4 1986 9 男 电气与控制工程学院 60 到期前还
辽宁 4 1984 3 男 电气与控制工程学院 60 到期前还
辽宁 4 1985 5 男 电气与控制工程学院 60 到期前还
辽宁 4 1985 3 男 电气与控制工程学院 60 到期前还
甘肃 3 1984 6 男 电气与控制工程学院 54 到期未还
辽宁 4 1983 10 男 电气与控制工程学院 60 到期前还
陕西 2 1983 3 男 电气与控制工程学院 46 到期未还
辽宁 4 1983 7 男 电气与控制工程学院 57 到期未还
宁夏 4 1986 10 男 电气与控制工程学院 60 到期前还
辽宁 2 1982 3 男 电气与控制工程学院 46 到期未还
辽宁 4 1985 2 男 电气与控制工程学院 57 到期未还
安微 4 1985 6 男 电气与控制工程学院 54 到期未还
辽宁 3 1984 6 女 电气与控制工程学院 54 到期未还
辽宁 4 1983 5 男 电气与控制工程学院 57 到期前还
辽宁 4 1985 1 男 电气与控制工程学院 54 到期未还
辽宁 4 1986 9 女 电气与控制工程学院 60 到期前还
甘肃 3 1983 1 男 电气与控制工程学院 54 到期未还
河南 2 1983 1 男 电气与控制工程学院 46 到期未还
辽宁 4 1984 2 男 电气与控制工程学院 54 到期未还
辽宁 4 1985 2 女 电气与控制工程学院 54 到期未还
辽宁 4 1985 11 女 电气与控制工程学院 57 到期未还
辽宁 4 1985 2 男 电气与控制工程学院 60 到期前还
辽宁 4 1985 4 男 电气与控制工程学院 57 到期未还
辽宁 4 1985 8 男 电气与控制工程学院 60 到期前还
辽宁 3 1983 6 女 电气与控制工程学院 54 到期未还
福建 2 1982 10 男 电气与控制工程学院 46 到期前还
辽宁 3 1982 4 男 电气与控制工程学院 51 到期未还
辽宁 4 1984 10 男 电气与控制工程学院 54 到期前还
辽宁 2 1983 10 女 电气与控制工程学院 46 到期前还
云南 4 1985 2 女 电气与控制工程学院 60 到期前还
辽宁 4 1985 9 男 电气与控制工程学院 60 到期前还
辽宁 3 1984 7 男 电气与控制工程学院 54 到期未还
辽宁 4 1983 7 男 电气与控制工程学院 54 到期未还
辽宁 4 1983 9 男 电气与控制工程学院 54 到期未还
辽宁 4 1983 8 男 电气与控制工程学院 54 到期未还
辽宁 2 1982 9 男 电气与控制工程学院 46 到期未还
辽宁 4 1984 7 女 电气与控制工程学院 60 到期前还
辽宁 4 1985 10 女 电气与控制工程学院 54 到期前还
辽宁 4 1985 3 男 电气与控制工程学院 60 到期前还
辽宁 2 1983 6 女 电气与控制工程学院 39 到期未还
辽宁 2 1983 1 男 电气与控制工程学院 46 到期未还
天津 4 1984 9 男 电气与控制工程学院 60 到期前还
辽宁 4 1984 10 男 电气与控制工程学院 60 到期前还
辽宁 4 1985 1 男 电气与控制工程学院 60 到期前还
辽宁 4 1985 6 男 电气与控制工程学院 54 到期未还
辽宁 4 1981 11 男 电气与控制工程学院 57 到期未还
天津 3 1983 12 女 电气与控制工程学院 54 到期未还
辽宁 3 1983 4 男 电气与控制工程学院 54 到期未还
福建 4 1984 9 男 电气与控制工程学院 60 到期前还
辽宁 4 1984 11 男 电气与控制工程学院 54 到期未还
福建 3 1983 7 男 电气与控制工程学院 54 到期还
辽宁 4 1985 11 女 电气与控制工程学院 54 到期未还
辽宁 4 1985 8 女 电气与控制工程学院 60 到期前还
辽宁 2 1982 11 男 电气与控制工程学院 46 到期未还
河南 4 1983 6 男 电气与控制工程学院 60 到期前还
河北 4 1986 2 男 电气与控制工程学院 60 到期前还
黑龙江 3 1983 3 男 电气与控制工程学院 54 到期还
辽宁 4 1983 10 男 电气与控制工程学院 54 到期前还
辽宁 4 1985 3 女 电气与控制工程学院 54 到期未还
辽宁 2 1982 6 男 电气与控制工程学院 46 到期未还
辽宁 2 1982 9 男 电气与控制工程学院 46 到期未还
辽宁 4 1984 5 男 电气与控制工程学院 57 到期前还
辽宁 3 1983 4 男 电气与控制工程学院 48 到期未还
辽宁 4 1985 2 男 电气与控制工程学院 57 到期未还
安微 3 1986 6 男 电气与控制工程学院 54 到期未还
宁夏 4 1984 5 男 电气与控制工程学院 60 到期前还
内蒙古 3 1983 11 男 电气与控制工程学院 48 到期未还
辽宁 4 1986 10 男 电气与控制工程学院 60 到期前还
辽宁 3 1985 10 男 电气与控制工程学院 51 到期前还
辽宁 4 1984 8 女 电气与控制工程学院 54 到期未还
辽宁 4 1981 1 男 电气与控制工程学院 57 到期未还
辽宁 3 1984 7 男 电气与控制工程学院 51 到期未还
辽宁 4 1984 11 男 电气与控制工程学院 60 到期前还
辽宁 4 1984 1 男 电气与控制工程学院 54 到期未还
辽宁 4 1985 12 女 电气与控制工程学院 60 到期前还
辽宁 4 1984 10 男 电气与控制工程学院 54 到期前还
辽宁 3 1983 7 男 电气与控制工程学院 51 到期未还
辽宁 4 1985 8 女 电气与控制工程学院 54 到期未还
辽宁 4 1985 1 女 电气与控制工程学院 60 到期前还
辽宁 4 1986 2 男 电气与控制工程学院 57 到期未还
内蒙古 2 1982 5 女 电气与控制工程学院 46 到期前还
辽宁 4 1984 2 男 电气与控制工程学院 60 到期前还
辽宁 4 1984 11 男 电气与控制工程学院 60 到期前还
内蒙古 4 1982 7 女 电气与控制工程学院 57 到期未还
辽宁 4 1981 10 男 电气与控制工程学院 57 到期前还
辽宁 4 1985 2 女 电气与控制工程学院 60 到期前还
辽宁 2 1981 4 女 电气与控制工程学院 46 到期未还
辽宁 4 1985 7 男 电气与控制工程学院 57 到期未还
辽宁 4 1986 2 男 电气与控制工程学院 60 到期前还
辽宁 4 1985 8 男 电气与控制工程学院 54 到期未还
辽宁 4 1981 5 女 电气与控制工程学院 54 到期前还
辽宁 3 1982 5 男 电气与控制工程学院 54 到期前还
福建 4 1986 4 男 电气与控制工程学院 54 到期还
吉林 4 1985 3 男 电气与控制工程学院 54 到期未还
河南 4 1985 10 男 电气与控制工程学院 54 到期前还
辽宁 3 1984 8 女 电气与控制工程学院 54 到期未还
辽宁 4 1983 10 男 电气与控制工程学院 57 到期前还
辽宁 4 1986 1 女 电气与控制工程学院 54 到期未还
辽宁 3 1982 9 男 电气与控制工程学院 54 到期未还
辽宁 4 1984 12 女 电气与控制工程学院 57 到期未还
吉林 2 1982 5 女 电气与控制工程学院 46 到期前还
辽宁 4 1985 10 男 电气与控制工程学院 60 到期前还
辽宁 2 1984 5 男 电气与控制工程学院 46 到期前还
辽宁 4 1986 5 男 电气与控制工程学院 60 到期前还
辽宁 4 1987 1 男 电气与控制工程学院 60 到期前还
辽宁 4 1985 5 男 电气与控制工程学院 60 到期前还
陕西 2 1982 12 男 电气与控制工程学院 46 到期未还
辽宁 4 1986 9 男 电气与控制工程学院 54 到期未还
辽宁 4 1983 1 女 电气与控制工程学院 54 到期未还
辽宁 4 1986 10 女 电气与控制工程学院 60 到期前还
辽宁 3 1984 3 男 电气与控制工程学院 54 到期未还
辽宁 4 1983 12 女 电气与控制工程学院 54 到期未还
山西 3 1986 2 女 电气与控制工程学院 54 到期未还
辽宁 4 1984 8 男 电气与控制工程学院 60 到期前还
辽宁 4 1984 7 男 电气与控制工程学院 60 到期前还
四川 3 1983 6 男 电气与控制工程学院 54 到期未还
辽宁 3 1983 1 男 电气与控制工程学院 51 到期未还
四川 3 1984 12 男 电气与控制工程学院 54 到期未还
辽宁 4 1985 3 男 电气与控制工程学院 57 到期未还
陕西 2 1982 4 男 电气与控制工程学院 46 到期未还
辽宁 4 1983 3 女 电气与控制工程学院 57 到期未还
吉林 4 1985 7 女 电气与控制工程学院 60 到期前还
辽宁 4 1985 11 男 电气与控制工程学院 60 到期前还
陕西 3 1982 5 男 电气与控制工程学院 54 到期前还
河北 4 1984 5 男 电气与控制工程学院 54 到期前还
辽宁 4 1985 2 男 电气与控制工程学院 54 到期未还
湖北 4 1985 10 男 电气与控制工程学院 60 到期前还
辽宁 4 1986 5 男 电气与控制工程学院 60 到期前还
辽宁 4 1984 11 男 电气与控制工程学院 57 到期未还
辽宁 4 1983 11 男 电气与控制工程学院 54 到期未还
辽宁 4 1987 8 男 电气与控制工程学院 57 到期未还
辽宁 4 1984 12 男 电气与控制工程学院 60 到期前还
辽宁 4 1985 9 男 电气与控制工程学院 57 到期未还
天津 4 1985 2 女 电气与控制工程学院 54 到期未还
辽宁 3 1985 3 男 电气与控制工程学院 54 到期未还
辽宁 4 1985 2 男 电气与控制工程学院 60 到期前还
辽宁 4 1985 2 男 电气与控制工程学院 60 到期前还
辽宁 4 1984 8 男 电气与控制工程学院 60 到期前还
辽宁 3 1983 3 男 电气与控制工程学院 54 到期未还
辽宁 4 1985 9 男 电气与控制工程学院 60 到期前还
辽宁 2 1983 6 男 电气与控制工程学院 46 到期未还
辽宁 4 1986 3 男 电气与控制工程学院 60 到期前还
陕西 4 1985 1 男 电气与控制工程学院 60 到期前还
福建 3 1984 3 男 电气与控制工程学院 54 到期还
辽宁 4 1984 10 男 电气与控制工程学院 57 到期前还
吉林 3 1984 9 男 电气与控制工程学院 48 到期未还
辽宁 4 1983 12 男 电气与控制工程学院 60 到期前还
黑龙江 3 1983 9 男 电气与控制工程学院 48 到期还
吉林 2 1979 9 男 电气与控制工程学院 46 到期未还
辽宁 4 1985 11 女 电气与控制工程学院 60 到期前还
辽宁 4 1985 11 男 电气与控制工程学院 57 到期未还
辽宁 4 1986 2 女 电气与控制工程学院 60 到期前还
辽宁 3 1984 8 女 电气与控制工程学院 54 到期未还
辽宁 4 1982 2 女 电气与控制工程学院 57 到期未还
河南 3 1985 8 男 电气与控制工程学院 54 到期未还
辽宁 2 1982 9 男 电气与控制工程学院 50 到期未还
辽宁 2 1983 11 男 电气与控制工程学院 46 到期未还
辽宁 4 1984 10 男 电气与控制工程学院 54 到期前还
辽宁 2 1983 10 女 电气与控制工程学院 46 到期前还
河北 2 1982 4 女 电气与控制工程学院 46 到期还
辽宁 4 1983 11 男 电气与控制工程学院 57 到期未还
辽宁 4 1986 2 女 电气与控制工程学院 60 到期前还
辽宁 3 1984 2 女 电气与控制工程学院 54 到期未还
辽宁 4 1985 8 男 电气与控制工程学院 60 到期前还
福建 3 1983 9 男 电气与控制工程学院 48 到期还
四川 2 1982 4 男 电气与控制工程学院 46 到期未还
黑龙江 3 1984 10 女 电气与控制工程学院 54 到期前还
辽宁 4 1984 9 男 电气与控制工程学院 60 到期前还
辽宁 3 1982 8 男 电气与控制工程学院 54 到期未还
四川 2 1982 11 男 电气与控制工程学院 46 到期未还
吉林 2 1981 11 男 电气与控制工程学院 46 到期未还
辽宁 4 1982 6 女 电气与控制工程学院 57 到期未还
内蒙古 3 1984 3 女 电气与控制工程学院 54 到期未还
辽宁 4 1986 10 男 电气与控制工程学院 57 到期前还
辽宁 4 1983 11 男 电气与控制工程学院 60 到期前还
陕西 3 1983 2 女 电气与控制工程学院 54 到期未还
辽宁 4 1983 4 男 电气与控制工程学院 60 到期前还
四川 2 1980 11 男 电气与控制工程学院 46 到期未还
吉林 3 1984 9 男 电气与控制工程学院 54 到期未还
辽宁 3 1984 2 男 电气与控制工程学院 48 到期未还
吉林 3 1983 12 男 电气与控制工程学院 54 到期未还
辽宁 4 1986 12 女 电气与控制工程学院 57 到期未还
辽宁 4 1982 7 女 电气与控制工程学院 57 到期未还
辽宁 4 1985 7 女 电气与控制工程学院 60 到期前还
辽宁 3 1984 6 男 电气与控制工程学院 54 到期未还
辽宁 4 1987 2 男 电气与控制工程学院 57 到期未还
四川 3 1982 6 男 电气与控制工程学院 54 到期未还
辽宁 4 1980 8 男 电气与控制工程学院 57 到期未还
辽宁 4 1985 12 男 电气与控制工程学院 60 到期前还
辽宁 4 1984 4 男 电气与控制工程学院 54 到期未还
辽宁 4 1984 4 女 电气与控制工程学院 60 到期前还
辽宁 3 1985 11 男 电气与控制工程学院 54 到期未还
重庆 4 1985 5 男 电气与控制工程学院 54 到期前还
山东 4 1984 7 男 电气与控制工程学院 60 到期前还
甘肃 4 1985 10 男 电气与控制工程学院 60 到期前还
河北 3 1983 6 男 电气与控制工程学院 54 到期还
辽宁 2 1983 6 男 电气与控制工程学院 46 到期未还
陕西 3 1985 10 男 电气与控制工程学院 54 到期前还
黑龙江 3 1984 10 女 电气与控制工程学院 54 到期前还
四川 4 1986 12 男 电气与控制工程学院 54 到期未还
内蒙古 2 1982 12 女 电气与控制工程学院 46 到期未还
福建 4 1985 3 男 电气与控制工程学院 54 到期还
广东 3 1984 10 男 电气与控制工程学院 54 到期前还
新疆 3 1984 3 男 电气与控制工程学院 54 到期未还
河北 3 1984 10 男 电气与控制工程学院 54 到期前还
重庆 3 1984 6 男 电气与控制工程学院 54 到期未还
辽宁 3 1985 2 男 电气与控制工程学院 54 到期未还
河北 3 1986 10 男 电气与控制工程学院 54 到期前还
辽宁 3 1983 8 男 电气与控制工程学院 51 到期未还
辽宁 3 1987 1 女 电气与控制工程学院 54 到期未还
辽宁 3 1985 3 女 电气与控制工程学院 54 到期未还
辽宁 3 1983 8 女 电气与控制工程学院 54 到期未还
辽宁 3 1984 4 女 电气与控制工程学院 54 到期未还
辽宁 3 1984 1 女 电气与控制工程学院 54 到期未还
黑龙江 3 1982 8 男 电气与控制工程学院 54 到期还
辽宁 3 1984 12 男 电气与控制工程学院 54 到期未还
辽宁 3 1983 10 女 电气与控制工程学院 54 到期前还
辽宁 3 1983 10 女 电气与控制工程学院 54 到期前还
重庆 3 1986 2 女 电气与控制工程学院 54 到期未还
河北 4 1985 11 男 电气与控制工程学院 60 到期前还
河北 4 1981 6 男 电气与控制工程学院 60 到期前还
辽宁 4 1985 3 男 电气与控制工程学院 60 到期前还
辽宁 4 1984 12 女 电气与控制工程学院 60 到期前还
辽宁 4 1985 3 男 电气与控制工程学院 60 到期前还
安微 4 1984 7 男 电气与控制工程学院 60 到期前还
辽宁 4 1984 3 女 电气与控制工程学院 60 到期前还
河南 4 1987 2 男 电气与控制工程学院 60 到期前还
江苏 4 1981 11 男 电气与控制工程学院 54 到期还
辽宁 4 1985 1 男 电气与控制工程学院 54 到期未还
辽宁 4 1985 1 男 电气与控制工程学院 54 到期未还
辽宁 4 1985 11 男 电气与控制工程学院 54 到期未还
辽宁 4 1985 3 女 电气与控制工程学院 54 到期未还
辽宁 4 1985 2 女 电气与控制工程学院 54 到期未还
辽宁 4 1985 11 男 电气与控制工程学院 54 到期未还
辽宁 4 1986 4 女 电气与控制工程学院 54 到期未还
辽宁 4 1983 1 男 电气与控制工程学院 60 到期前还
辽宁 4 1985 12 女 电气与控制工程学院 60 到期前还
辽宁 4 1986 1 男 电气与控制工程学院 60 到期前还
辽宁 4 1985 12 男 电气与控制工程学院 60 到期前还
河北 4 1981 11 男 电气与控制工程学院 57 到期还
辽宁 2 1984 1 男 电气与控制工程学院 46 到期未还
福建 3 1984 1 男 电气与控制工程学院 54 到期还
内蒙古 2 1982 10 女 电气与控制工程学院 46 到期前还
内蒙古 2 1981 10 男 电气与控制工程学院 46 到期前还
辽宁 2 1983 12 男 电气与控制工程学院 46 到期未还
内蒙古 4 1984 11 男 电气与控制工程学院 54 到期未还
辽宁 3 1984 3 男 电气与控制工程学院 54 到期未还
辽宁 4 1985 3 男 电气与控制工程学院 60 到期前还
辽宁 4 1986 7 男 电气与控制工程学院 57 到期未还
辽宁 4 1981 8 女 电气与控制工程学院 57 到期未还
辽宁 3 1983 7 女 电气与控制工程学院 51 到期未还
辽宁 4 1985 2 男 电子与信息工程学院 60 到期前还
河南 3 1984 10 男 电子与信息工程学院 54 到期前还
辽宁 4 1984 4 女 电子与信息工程学院 60 到期前还
辽宁 3 1984 9 女 电子与信息工程学院 54 到期还
内蒙古 4 1983 11 女 电子与信息工程学院 60 到期前还
辽宁 2 1983 3 男 电子与信息工程学院 46 到期还
宁夏 4 1984 6 男 电子与信息工程学院 60 到期前还
山东 3 1983 9 男 电子与信息工程学院 54 到期还
辽宁 3 1984 1 男 电子与信息工程学院 54 到期还
辽宁 4 1981 11 女 电子与信息工程学院 57 到期还
甘肃 2 1984 8 男 电子与信息工程学院 51 到期还
辽宁 4 1985 12 女 电子与信息工程学院 60 到期前还
贵州 3 1984 6 男 电子与信息工程学院 54 到期还
甘肃 3 1984 11 男 电子与信息工程学院 54 到期还
吉林 3 1983 5 女 电子与信息工程学院 54 到期前还
辽宁 4 1984 10 男 电子与信息工程学院 60 到期前还
新疆 4 1986 2 女 电子与信息工程学院 60 到期前还
辽宁 4 1984 8 男 电子与信息工程学院 60 到期前还
辽宁 4 1985 6 女 电子与信息工程学院 60 到期前还
辽宁 4 1983 9 男 电子与信息工程学院 60 到期前还
辽宁 2 1983 3 女 电子与信息工程学院 57 到期还
辽宁 2 1984 6 男 电子与信息工程学院 46 到期还
河北 3 1985 5 女 电子与信息工程学院 54 到期前还
内蒙古 2 1984 10 男 电子与信息工程学院 46 到期前还
辽宁 3 1982 11 女 电子与信息工程学院 54 到期还
辽宁 3 1984 7 女 电子与信息工程学院 54 到期还
福建 2 1982 2 男 电子与信息工程学院 46 到期还
吉林 2 1983 1 女 电子与信息工程学院 46 到期还
辽宁 4 1983 10 男 电子与信息工程学院 60 到期前还
四川 4 1987 1 男 电子与信息工程学院 60 到期前还
辽宁 4 1983 9 女 电子与信息工程学院 60 到期前还
辽宁 4 1986 2 男 电子与信息工程学院 60 到期前还
四川 2 1983 3 男 电子与信息工程学院 51 到期还
辽宁 4 1983 10 男 电子与信息工程学院 60 到期前还
辽宁 4 1986 11 女 电子与信息工程学院 60 到期前还
辽宁 2 1982 2 男 电子与信息工程学院 46 到期还
辽宁 2 1982 12 男 电子与信息工程学院 46 到期还
辽宁 2 1982 12 男 电子与信息工程学院 46 到期还
辽宁 4 1985 7 女 电子与信息工程学院 57 到期还
辽宁 4 1983 9 男 电子与信息工程学院 60 到期前还
甘肃 4 1984 10 男 电子与信息工程学院 60 到期前还
天津 3 1984 10 男 电子与信息工程学院 54 到期前还
辽宁 3 1984 9 男 电子与信息工程学院 54 到期还
辽宁 3 1984 11 男 电子与信息工程学院 51 到期还
辽宁 3 1983 10 女 电子与信息工程学院 54 到期前还
山西 2 1983 1 男 电子与信息工程学院 51 到期还
辽宁 4 1986 10 男 电子与信息工程学院 60 到期前还
黑龙江 4 1981 12 男 电子与信息工程学院 57 到期还
辽宁 4 1985 1 女 电子与信息工程学院 60 到期前还
辽宁 2 1983 7 女 电子与信息工程学院 57 到期还
辽宁 4 1984 5 女 电子与信息工程学院 57 到期前还
陕西 3 1981 8 男 电子与信息工程学院 54 到期还
甘肃 4 1986 2 男 电子与信息工程学院 60 到期前还
辽宁 2 1982 8 女 电子与信息工程学院 57 到期还
辽宁 4 1982 10 女 电子与信息工程学院 60 到期前还
辽宁 4 1984 10 女 电子与信息工程学院 60 到期前还
黑龙江 2 1977 12 男 电子与信息工程学院 51 到期还
辽宁 4 1985 9 男 电子与信息工程学院 60 到期前还
重庆 4 1985 5 男 电子与信息工程学院 60 到期前还
辽宁 4 1982 6 女 电子与信息工程学院 57 到期还
辽宁 4 1984 10 男 电子与信息工程学院 57 到期前还
辽宁 4 1985 7 女 电子与信息工程学院 60 到期前还
福建 3 1985 1 男 电子与信息工程学院 50 到期还
吉林 3 1982 8 女 电子与信息工程学院 54 到期还
辽宁 2 1981 8 男 电子与信息工程学院 46 到期还
河北 4 1981 7 女 电子与信息工程学院 50 到期还
辽宁 4 1982 1 男 电子与信息工程学院 60 到期前还
四川 3 1985 2 男 电子与信息工程学院 54 到期还
内蒙古 4 1984 8 男 电子与信息工程学院 60 到期前还
辽宁 4 1983 9 女 电子与信息工程学院 57 到期还
陕西 2 1982 8 男 电子与信息工程学院 57 到期还
辽宁 4 1983 7 男 电子与信息工程学院 57 到期还
辽宁 4 1986 9 女 电子与信息工程学院 60 到期前还
四川 4 1985 1 男 电子与信息工程学院 60 到期前还
黑龙江 4 1982 4 男 电子与信息工程学院 57 到期还
河北 4 1984 7 男 电子与信息工程学院 60 到期前还
辽宁 4 1985 6 女 电子与信息工程学院 60 到期前还
河南 4 1980 9 男 电子与信息工程学院 45 到期还
辽宁 2 1983 3 男 电子与信息工程学院 46 到期还
辽宁 4 1985 4 女 电子与信息工程学院 57 到期还
甘肃 3 1985 1 女 电子与信息工程学院 54 到期还
辽宁 4 1986 1 女 电子与信息工程学院 60 到期前还
陕西 2 1982 8 男 电子与信息工程学院 46 到期还
河北 4 1984 8 男 电子与信息工程学院 60 到期前还
辽宁 2 1982 6 女 电子与信息工程学院 51 到期还
河北 3 1985 7 女 电子与信息工程学院 54 到期还
陕西 3 1982 11 男 电子与信息工程学院 54 到期还
辽宁 2 1983 8 男 电子与信息工程学院 51 到期还
陕西 2 1983 1 男 电子与信息工程学院 46 到期还
新疆 2 1981 10 男 电子与信息工程学院 51 到期前还
黑龙江 4 1983 7 男 电子与信息工程学院 60 到期前还
辽宁 4 1985 11 男 电子与信息工程学院 60 到期前还
辽宁 4 1983 11 女 电子与信息工程学院 60 到期前还
辽宁 4 1983 1 男 电子与信息工程学院 57 到期还
辽宁 4 1985 8 女 电子与信息工程学院 60 到期前还
辽宁 2 1983 7 男 电子与信息工程学院 46 到期还
辽宁 4 1985 5 男 电子与信息工程学院 60 到期前还
辽宁 2 1982 4 女 电子与信息工程学院 57 到期还
江苏 3 1983 9 女 电子与信息工程学院 54 到期还
河北 4 1982 2 男 电子与信息工程学院 57 到期还
辽宁 3 1985 10 男 电子与信息工程学院 51 到期前还
江苏 4 1986 9 男 电子与信息工程学院 60 到期前还
辽宁 4 1986 1 女 电子与信息工程学院 60 到期前还
辽宁 4 1985 2 男 电子与信息工程学院 57 到期还
辽宁 4 1982 4 女 电子与信息工程学院 57 到期还
辽宁 2 1984 6 男 电子与信息工程学院 46 到期还
河北 2 1983 10 男 电子与信息工程学院 46 到期前还
吉林 3 1981 3 女 电子与信息工程学院 54 到期还
辽宁 4 1982 7 女 电子与信息工程学院 57 到期还
黑龙江 2 1983 3 男 电子与信息工程学院 51 到期还
辽宁 2 1981 12 女 电子与信息工程学院 46 到期还
陕西 3 1983 12 男 电子与信息工程学院 54 到期还
吉林 2 1982 1 男 电子与信息工程学院 51 到期还
安微 3 1985 9 男 电子与信息工程学院 54 到期还
辽宁 4 1984 4 女 电子与信息工程学院 60 到期前还
辽宁 4 1984 8 女 电子与信息工程学院 60 到期前还
辽宁 4 1985 10 男 电子与信息工程学院 60 到期前还
辽宁 2 1983 6 女 电子与信息工程学院 46 到期还
辽宁 2 1982 12 女 电子与信息工程学院 46 到期还
辽宁 3 1984 4 女 电子与信息工程学院 54 到期还
辽宁 4 1986 9 女 电子与信息工程学院 60 到期前还
河南 4 1981 4 女 电子与信息工程学院 57 到期还
辽宁 4 1986 11 女 电子与信息工程学院 60 到期前还
辽宁 4 1984 5 男 电子与信息工程学院 60 到期前还
安微 4 1984 9 男 电子与信息工程学院 60 到期前还
辽宁 2 1983 4 女 电子与信息工程学院 51 到期还
辽宁 2 1983 4 女 电子与信息工程学院 57 到期还
辽宁 4 1985 10 男 电子与信息工程学院 48 到期前还
辽宁 4 1984 7 男 电子与信息工程学院 60 到期前还
辽宁 4 1987 1 女 电子与信息工程学院 57 到期还
辽宁 4 1985 9 女 电子与信息工程学院 60 到期前还
辽宁 2 1982 12 男 电子与信息工程学院 46 到期还
辽宁 3 1984 4 女 电子与信息工程学院 51 到期还
辽宁 3 1984 2 男 电子与信息工程学院 54 到期还
四川 3 1984 11 男 电子与信息工程学院 54 到期还
辽宁 3 1984 1 男 电子与信息工程学院 51 到期还
辽宁 4 1985 7 女 电子与信息工程学院 60 到期前还
辽宁 2 1982 7 男 电子与信息工程学院 51 到期还
云南 4 1986 1 女 电子与信息工程学院 60 到期前还
黑龙江 3 1984 2 男 电子与信息工程学院 54 到期还
黑龙江 2 1980 10 男 电子与信息工程学院 46 到期前还
辽宁 2 1980 10 男 电子与信息工程学院 57 到期前还
河南 2 1983 8 男 电子与信息工程学院 51 到期还
山西 2 1982 7 女 电子与信息工程学院 51 到期还
安微 2 1982 3 男 电子与信息工程学院 51 到期还
河南 2 1982 10 女 电子与信息工程学院 51 到期前还
宁夏 2 1984 8 女 电子与信息工程学院 46 到期还
四川 2 1982 5 男 电子与信息工程学院 46 到期前还
河北 4 1982 10 女 电子与信息工程学院 57 到期前还
内蒙古 4 1985 11 男 电子与信息工程学院 60 到期前还
辽宁 4 1984 8 男 电子与信息工程学院 60 到期前还
河北 4 1986 3 男 电子与信息工程学院 60 到期前还
辽宁 2 1983 3 女 电子与信息工程学院 45 到期还
辽宁 4 1986 8 男 机械工程学院 54 到期未还
辽宁 4 1985 4 男 机械工程学院 54 到期未还
辽宁 4 1985 2 男 机械工程学院 54 到期未还
辽宁 4 1983 11 男 机械工程学院 54 到期未还
辽宁 2 1983 8 男 机械工程学院 46 到期未还
辽宁 4 1983 10 男 机械工程学院 54 到期前还
辽宁 3 1984 1 男 机械工程学院 48 到期未还
河北 4 1984 2 男 机械工程学院 54 到期还
辽宁 4 1985 2 男 机械工程学院 54 到期未还
辽宁 4 1984 8 男 机械工程学院 54 到期未还
辽宁 3 1984 8 男 机械工程学院 60 到期前还
辽宁 4 1985 7 男 机械工程学院 60 到期前还
辽宁 3 1984 4 男 机械工程学院 48 到期未还
辽宁 4 1985 7 女 机械工程学院 54 到期未还
天津 3 1983 7 男 机械工程学院 48 到期未还
辽宁 4 1985 6 女 机械工程学院 54 到期未还
江苏 3 1984 10 男 机械工程学院 48 到期前还
辽宁 4 1984 1 女 机械工程学院 54 到期未还
辽宁 4 1985 11 男 机械工程学院 54 到期未还
辽宁 4 1983 8 男 机械工程学院 54 到期未还
辽宁 4 1985 11 男 机械工程学院 54 到期未还
辽宁 4 1986 2 女 机械工程学院 60 到期前还
辽宁 4 1984 4 女 机械工程学院 54 到期未还
山东 3 1985 6 男 机械工程学院 60 到期前还
辽宁 4 1984 3 男 机械工程学院 54 到期未还
辽宁 4 1985 4 男 机械工程学院 54 到期未还
辽宁 4 1985 3 男 机械工程学院 54 到期未还
宁夏 4 1985 10 男 机械工程学院 54 到期前还
辽宁 2 1983 2 男 机械工程学院 46 到期未还
辽宁 4 1984 10 女 机械工程学院 54 到期前还
辽宁 3 1984 3 男 机械工程学院 60 到期前还
辽宁 2 1982 10 女 机械工程学院 46 到期前还
辽宁 3 1983 6 男 机械工程学院 60 到期前还
重庆 4 1986 1 男 机械工程学院 54 到期未还
辽宁 4 1986 9 女 机械工程学院 57 到期未还
辽宁 4 1985 1 男 机械工程学院 54 到期未还
辽宁 3 1984 8 男 机械工程学院 48 到期未还
新疆 3 1982 7 男 机械工程学院 48 到期未还
辽宁 4 1984 4 男 机械工程学院 60 到期前还
辽宁 4 1985 9 女 机械工程学院 60 到期前还
辽宁 4 1984 1 男 机械工程学院 54 到期未还
辽宁 4 1985 10 男 机械工程学院 54 到期前还
四川 4 1985 10 男 机械工程学院 54 到期前还
辽宁 3 1984 10 女 机械工程学院 48 到期前还
辽宁 4 1983 12 男 机械工程学院 54 到期未还
安微 4 1986 9 男 机械工程学院 54 到期未还
辽宁 4 1985 6 男 机械工程学院 54 到期未还
辽宁 3 1983 8 男 机械工程学院 48 到期未还
辽宁 4 1984 11 男 机械工程学院 54 到期未还
安微 4 1984 7 男 机械工程学院 60 到期前还
河北 3 1982 7 男 机械工程学院 48 到期还
辽宁 4 1985 12 男 机械工程学院 54 到期未还
辽宁 3 1984 2 女 机械工程学院 51 到期未还
辽宁 4 1984 12 女 机械工程学院 54 到期未还
